S/No,Longitude,Latitude,Y1517,Y1921,Y2325
1,30.07563,-1.74483,0.40730,0.08400,0.47002
2,30.03092,-1.72249,0.47116,0.05821,0.31067
3,30.05520,-1.73026,0.43017,0.03978,0.84992
4,30.04052,-1.75010,0.34238,0.04729,0.50453
5,30.02295,-1.71433,0.46194,0.04906,0.93726
6,30.03828,-1.72727,0.42827,0.08599,0.74809
7,30.06348,-1.73197,0.46561,0.06174,0.86804
8,30.05247,-1.75636,0.32918,0.06121,0.81936
9,30.05789,-1.73817,0.42036,0.07728,0.82681
10,30.07270,-1.74280,0.44356,0.07046,0.64595
11,30.05828,-1.72640,0.47183,0.01897,0.92535
12,30.03879,-1.72593,0.42648,0.06717,0.87656
13,30.02239,-1.74188,0.39059,0.02774,0.41912
14,30.05103,-1.74803,0.36472,0.08023,0.55617
15,30.01489,-1.72815,0.44038,0.06668,0.37169
16,30.03060,-1.71906,0.46794,0.03321,0.51655
17,30.00978,-1.73640,0.39926,0.03798,0.50682
18,30.05730,-1.75280,0.36040,0.11785,0.71569
19,30.01291,-1.71440,0.44854,0.05407,0.83218
20,30.03834,-1.74146,0.35546,0.07786,0.34639
21,30.00332,-1.72584,0.43022,0.04626,0.46109
22,30.06115,-1.73121,0.43318,0.05913,0.84656
23,30.04697,-1.74118,0.38496,0.07153,0.46384
24,30.01203,-1.71277,0.44018,0.04544,0.89685
25,30.02985,-1.72939,0.45758,0.09814,0.53276
26,30.04901,-1.72636,0.40755,0.05521,1.07472
27,30.06604,-1.74204,0.38355,0.08729,0.90273
28,30.00929,-1.72221,0.44462,0.08250,0.85210
29,30.04359,-1.71399,0.51457,0.02090,0.84463
30,30.00340,-1.73512,0.37690,0.01657,0.25232
31,30.03231,-1.74038,0.38735,0.04762,0.35770
32,30.05228,-1.74604,0.37504,0.07088,0.80098
33,30.01902,-1.74372,0.38877,0.08991,0.53299
34,30.06558,-1.73329,0.43759,0.05211,1.00775
35,30.01228,-1.73891,0.39598,0.05697,0.73826
36,30.02869,-1.73264,0.42509,0.08448,0.14704
37,30.01910,-1.73740,0.39865,0.06167,0.46256
38,30.02305,-1.72773,0.48790,0.05656,0.58377
39,29.99686,-1.72726,0.41904,0.06760,0.91464
40,30.02846,-1.71352,0.54346,0.02451,0.63023
41,30.04835,-1.75264,0.35636,0.06178,0.59914
42,30.03493,-1.74528,0.33451,0.03201,0.77252
43,30.03865,-1.71185,0.50562,0.06621,0.67640
44,30.01887,-1.73563,0.43354,0.08045,0.18039
45,30.01133,-1.72188,0.39007,0.07923,0.67247
46,30.06119,-1.73567,0.46029,0.07013,0.91238
47,30.03077,-1.73093,0.43740,0.10572,0.43621
48,30.05817,-1.74591,0.40616,0.08748,0.89382
49,29.99849,-1.72485,0.45258,0.05110,0.80933
50,30.02093,-1.72177,0.47392,0.07787,0.57052
51,30.02698,-1.72506,0.49527,0.08035,0.65498
52,30.00775,-1.73761,0.37847,0.02444,0.07655
53,30.03516,-1.71332,0.52708,0.05321,0.89588
54,30.05918,-1.73924,0.42962,0.11967,0.65981
55,30.02783,-1.74062,0.35305,0.07025,0.49949
56,30.02760,-1.71755,0.47029,0.07292,0.73166
57,30.02877,-1.73663,0.39878,0.09369,0.35848
58,30.03623,-1.71843,0.45530,0.08691,0.65064
59,30.03695,-1.72092,0.47820,0.05289,0.71090
60,30.05370,-1.72383,0.39216,0.04507,1.23900
61,30.05761,-1.73339,0.39882,0.05675,0.94485
62,30.02012,-1.74812,0.35500,0.08016,0.52297
63,30.04331,-1.74847,0.35286,0.08678,0.49874
64,30.03533,-1.71467,0.49367,0.07867,0.82199
65,30.05385,-1.74084,0.39332,0.09087,0.69727
66,30.02397,-1.72520,0.47155,0.07530,0.47985
67,30.00593,-1.72050,0.45141,0.07813,0.85924
68,30.05672,-1.74839,0.37497,0.09104,0.94331
69,30.04430,-1.71802,0.45539,0.07352,1.01744
70,30.03426,-1.72731,0.43264,0.08272,0.79157
71,30.05729,-1.74274,0.40574,0.09401,1.01626
72,30.05252,-1.73897,0.40002,0.11840,0.80307
73,30.01447,-1.71574,0.47987,0.07832,0.87967
74,30.03446,-1.73997,0.36500,0.07978,0.29364
75,30.02966,-1.73494,0.43365,0.08254,0.10840
76,30.06522,-1.72990,0.47780,0.06891,1.01230
77,30.04767,-1.72563,0.38669,0.06036,1.08586
78,30.00696,-1.72172,0.46072,0.03982,0.97377
79,30.02749,-1.71208,0.49262,0.03847,0.97520
80,30.04050,-1.74357,0.39459,0.07146,0.50441
81,30.05829,-1.74894,0.37321,0.07391,0.98997
82,30.05298,-1.73563,0.40815,0.06673,0.74929
83,30.01875,-1.74223,0.38881,0.03932,0.59998
84,30.03151,-1.74240,0.39012,0.04834,0.72241
85,30.05556,-1.73608,0.41032,0.10959,0.93595
86,30.02076,-1.74556,0.39329,0.03350,0.61427
87,30.04727,-1.74482,0.38106,0.09137,0.42674
88,30.06659,-1.74789,0.35920,0.05909,0.79037
89,30.04029,-1.71543,0.47225,0.03868,0.85802
90,30.02502,-1.72858,0.44134,0.09704,0.55163
91,30.01598,-1.74293,0.40544,0.06609,0.59986
92,30.02597,-1.73863,0.36043,0.06011,0.20772
93,30.04501,-1.71608,0.47948,0.03061,0.83906
94,30.05301,-1.74918,0.37851,0.05910,0.64650
95,30.04795,-1.74990,0.37807,0.07528,0.53368
96,30.02689,-1.71604,0.48451,0.05292,0.66497
97,30.05972,-1.74918,0.33066,0.06212,0.91627
98,30.05728,-1.72880,0.41286,0.03581,0.91656
99,30.04611,-1.75161,0.31748,0.08364,0.84378
100,30.03622,-1.74673,0.34692,0.04351,0.56598
101,30.02089,-1.75606,0.29041,0.03398,0.37460
102,30.02005,-1.76744,0.28417,0.01385,0.20608
103,30.02876,-1.77600,0.27652,0.01997,-0.01653
104,30.02001,-1.77159,0.29906,0.04290,0.39806
105,29.99877,-1.74365,0.40895,0.05210,-0.33079
106,30.00740,-1.77928,0.25169,0.01057,-0.28232
107,30.02939,-1.75934,0.29399,0.00402,0.38856
108,29.98971,-1.77157,0.25660,0.03183,0.12526
109,30.04148,-1.77137,0.30709,0.05432,0.27009
110,30.00922,-1.76540,0.28838,0.08425,0.11840
111,29.98729,-1.73456,0.40928,0.05229,0.41618
112,29.99939,-1.76961,0.33280,0.06704,0.01277
113,29.97981,-1.74637,0.40002,0.02012,0.42515
114,30.03787,-1.77876,0.21401,0.03471,0.32542
115,30.02364,-1.76413,0.28411,0.04063,0.35612
116,30.04360,-1.77278,0.29756,-0.00022,0.31792
117,30.02881,-1.75189,0.30212,0.04816,0.37156
118,30.01133,-1.74714,0.40157,0.04514,0.33563
119,29.97918,-1.74055,0.45338,0.06740,0.45291
120,29.99801,-1.75658,0.34536,0.02246,0.11002
121,30.03411,-1.74993,0.32258,0.05935,0.47221
122,29.97935,-1.73848,0.42599,0.06153,0.37136
123,29.99707,-1.77689,0.26019,0.03782,0.07080
124,30.00009,-1.75502,0.35533,0.05965,0.18190
125,29.98566,-1.73543,0.43144,0.05516,0.47403
