PtID,Long,Lat,Bulk,Grain,Saturated,Easting,Northing,Xkm,Ykm
1,7.9514,5.9519,2.458,2.468,2.462,383935.5170,657997.6334,383.93552,657.99763
2,7.9539,5.9533,2.393,2.539,2.45,384212.5534,658151.8930,384.21255,658.15189
3,7.9922,5.9747,2.269,2.492,2.358,388456.5475,660509.9705,388.45655,660.50997
4,7.9539,5.9533,2.439,2.658,2.521,384212.5534,658151.8930,384.21255,658.15189
5,7.9667,5.9631,2.315,2.494,2.387,385631.5006,659232.7111,385.63150,659.23271
6,7.9975,5.9892,2.338,2.506,2.405,389046.1348,662112.0012,389.04613,662.11200
7,7.9883,6.0117,2.202,2.372,2.274,388032.3933,664601.4499,388.03239,664.60145
8,8.0061,6.0033,2.358,2.43,2.388,390000.8781,663669.1461,390.00088,663.66915
9,8.0308,5.9656,2.066,2.07,2.068,392727.4403,659496.2224,392.72744,659.49622
10,7.9883,6.0117,2.165,2.378,2.255,388032.3933,664601.4499,388.03239,664.60145
11,7.97,6.0175,2.5,2.65,2.551,386008.0773,665246.4770,386.00808,665.24648
12,7.9536,6.0139,1.856,2.038,1.945,384192.1012,664851.9081,384.19210,664.85191
13,7.9806,6.0033,2.554,2.6,2.572,387178.3955,663674.3329,387.17840,663.67433
14,7.9833,6.01,2.6,2.62,2.608,387478.6233,664414.5251,387.47862,664.41453
15,7.9536,6.0083,2.596,2.61,2.601,384190.9170,664232.7700,384.19092,664.23277
16,7.9375,5.9531,2.402,2.547,2.459,382397.0755,658133.2460,382.39708,658.13325
17,7.9564,5.9744,2.461,2.588,2.51,384493.7111,660484.1875,384.49371,660.48419
18,7.9677,5.9646,2.372,2.522,2.431,385742.5056,659398.3434,385.74251,659.39834
19,7.9679,5.9341,2.3,2.5,2.38,385758.3478,656026.2329,385.75835,656.02623
20,7.9756,5.9699,2.219,2.481,2.325,386618.0784,659982.6773,386.61808,659.98268
21,7.9185,5.9328,2.458,2.483,2.468,380289.4277,655892.9325,380.28943,655.89293
22,7.9085,5.9107,2.342,2.378,2.357,379177.5996,653451.6906,379.17760,653.45169
23,7.9007,5.9083,2.408,2.444,2.423,378313.5589,653188.0424,378.31356,653.18804
24,7.9004,5.9224,2.496,2.524,2.507,378283.4302,654747.0308,378.28343,654.74703
25,7.925,5.9308,2.395,2.404,2.399,381008.5634,655670.4105,381.00856,655.67041
26,7.8883,5.9194,2.532,3.176,2.735,376943.2322,654418.0112,376.94323,654.41801
27,7.8958,5.9219,2.043,2.262,2.14,377774.0766,654692.7604,377.77408,654.69276
28,7.8361,5.9228,2.158,2.448,2.276,371165.1099,654805.7666,371.16511,654.80577
29,7.9133,5.925,2.213,2.328,2.262,379712.0854,655031.6789,379.71209,655.03168
30,7.8361,5.8894,2.31,2.471,2.375,371157.3898,651112.9197,371.15739,651.11292
31,7.8838,5.8786,2.237,2.414,2.31,376436.0214,649908.0624,376.43602,649.90806
32,7.9058,5.9081,2.155,2.242,2.194,378878.1250,653164.8174,378.87813,653.16482
33,7.9097,5.9136,2.208,2.422,2.296,379311.0766,653772.0586,379.31108,653.77206
34,7.9058,5.9081,2.325,2.347,2.334,378878.1250,653164.8174,378.87813,653.16482
35,7.9097,5.9136,2.182,2.413,2.278,379311.0766,653772.0586,379.31108,653.77206
36,7.9,5.8833,0,2.776,0,378230.6117,650424.1496,378.23061,650.42415
37,7.9167,5.9,0,3.23,0,380083.0951,652266.9106,380.08310,652.26691
38,7.875,5.9167,0,2.62,0,375470.2332,654122.4558,375.47023,654.12246
39,7.85,5.9,0,2.8,0,372698.7275,652281.7060,372.69873,652.28171
40,7.9,5.9083,0,2.62,0,378236.0633,653188.1955,378.23606,653.18820
41,7.9,5.925,0,2.8,0,378239.7178,655034.5795,378.23972,655.03458
42,7.9167,5.9417,0,2.71,0,380092.0881,656877.3180,380.09209,656.87732
43,7.8667,5.95,0,2.69,0,374558.8916,657806.0778,374.55889,657.80608
44,7.95,5.9667,0,2.74,0,383783.6543,659634.2202,383.78365,659.63422
45,7.9167,5.8833,0,2.76,0,380079.5113,650420.5383,380.07951,650.42054
46,7.9333,5.8717,0,2.71,0,381914.8843,649134.5008,381.91488,649.13450
47,7.9167,5.0833,0,2.51,0,379919.6958,561972.7551,379.91970,561.97276
48,7.9417,5.8,0,3.13,0,382829.9905,641205.5760,382.82999,641.20558
49,7.9333,5.7833,0,2.36,0,381896.4072,639360.9631,381.89641,639.36096
50,7.9709,5.9581,0,2.38,0,386095.3864,658679.0439,386.09539,658.67904
51,7.97,5.955,0,2.88,0,385995.1210,658336.4949,385.99512,658.33649
52,7.9556,5.9517,0,2.48,0,384400.4038,657974.6407,384.40040,657.97464
53,7.953,5.9491,0,2.54,0,384112.0462,657687.7291,384.11205,657.68773
54,7.9496,5.9537,0,2.41,0,383736.6401,658197.0204,383.73664,658.19702
55,7.95,5.9586,0,2.51,0,383781.9493,658738.6816,383.78195,658.73868
